,operator_id,direction,calls_count,call_duration,is_missed_call,time_waiting,mean_duration,mean_waiting,calls_count_out,calls_missed_time_waiting,eficiente
212,922428,out,204,25377,22,2890,124.3970588235294,14.166666666666666,efficient,efficient,True
213,920720,out,200,16422,22,2799,82.11,13.995,efficient,efficient,True
214,907182,out,230,8114,22,1416,35.278260869565216,6.156521739130435,efficient,efficient,True
215,917850,out,162,11073,22,1196,68.35185185185185,7.382716049382716,efficient,efficient,True
216,908640,out,14239,258804,21,152128,18.175714586698504,10.683896341035185,efficient,efficient,True
217,919364,out,4820,98308,21,114980,20.395850622406638,23.854771784232366,efficient,efficient,True
218,945900,out,4210,38974,21,78712,9.25748218527316,18.69643705463183,efficient,efficient,True
219,945284,out,2071,106752,21,37572,51.54611298889425,18.141960405601157,efficient,efficient,True
220,947650,out,1603,54573,21,31110,34.04429195258889,19.40736119775421,efficient,efficient,True
221,952392,out,1496,42148,21,29847,28.17379679144385,19.95120320855615,efficient,efficient,True
222,882690,out,1417,117930,21,29549,83.22512350035286,20.853211009174313,efficient,efficient,True
223,899788,out,603,57121,21,11553,94.72802653399668,19.1592039800995,efficient,efficient,True
224,885890,in,1244,79487,21,11306,63.896302250803856,9.088424437299036,efficient,efficient,True
225,927916,out,426,26870,21,7332,63.075117370892016,17.211267605633804,efficient,efficient,True
226,947644,out,446,16536,21,7303,37.0762331838565,16.37443946188341,efficient,efficient,True
227,948758,out,518,39778,21,6193,76.7915057915058,11.955598455598455,efficient,efficient,True
228,944222,out,344,23137,21,5133,67.25872093023256,14.921511627906977,efficient,efficient,True
229,962658,out,320,11224,21,4824,35.075,15.075,efficient,efficient,True
230,940442,out,297,24327,21,4234,81.9090909090909,14.255892255892256,efficient,efficient,True
231,926312,out,130,14841,21,3865,114.16153846153846,29.73076923076923,efficient,efficient,True
232,920666,out,264,26461,21,3863,100.23106060606061,14.632575757575758,efficient,efficient,True
233,895776,out,239,10460,21,3437,43.76569037656904,14.380753138075313,efficient,efficient,True
234,939886,out,281,22492,21,3105,80.04270462633453,11.04982206405694,efficient,efficient,True
235,922474,out,211,15765,21,2150,74.71563981042654,10.189573459715639,efficient,efficient,True
236,924954,out,118,8764,21,1821,74.27118644067797,15.432203389830509,efficient,efficient,True
237,887802,out,121,8243,21,1493,68.12396694214875,12.338842975206612,efficient,efficient,True
238,945294,out,3368,270711,20,64690,80.37737529691212,19.20724465558195,efficient,efficient,True
239,953462,out,684,67507,20,12191,98.69444444444444,17.823099415204677,efficient,efficient,True
240,958430,out,284,27495,20,3621,96.81338028169014,12.75,efficient,efficient,True
241,922476,out,196,24615,20,2336,125.58673469387755,11.918367346938776,efficient,efficient,True
242,939684,out,131,7367,20,1669,56.23664122137404,12.740458015267176,efficient,efficient,True
243,907440,out,167,7997,20,1577,47.88622754491018,9.44311377245509,efficient,efficient,True
244,945904,out,3813,48414,19,76718,12.697088906372935,20.120115394702335,efficient,efficient,True
245,947654,out,2257,53624,19,51447,23.758972086840938,22.79441736818786,efficient,efficient,True
246,945304,out,2576,235549,19,49755,91.43982919254658,19.314829192546583,efficient,efficient,True
247,945320,out,2177,211725,19,40546,97.25539733578319,18.624712907671107,efficient,efficient,True
248,909502,out,786,48608,19,15996,61.842239185750635,20.35114503816794,efficient,efficient,True
249,891170,out,193,25552,19,3342,132.39378238341968,17.316062176165804,efficient,efficient,True
250,920838,out,172,18630,19,2763,108.31395348837209,16.063953488372093,efficient,efficient,True
251,926490,out,133,16735,19,2168,125.82706766917293,16.30075187969925,efficient,efficient,True
252,896008,out,193,12432,19,2113,64.41450777202073,10.94818652849741,efficient,efficient,True
253,900594,out,201,25386,19,1928,126.29850746268657,9.592039800995025,efficient,efficient,True
254,905104,out,187,14591,19,1090,78.02673796791444,5.828877005347594,efficient,efficient,True
255,908960,out,113,7433,19,1090,65.77876106194691,9.646017699115044,efficient,efficient,True
256,921316,out,80,3341,19,587,41.7625,7.3375,efficient,efficient,True
257,919202,out,2433,143252,18,51725,58.878750513769006,21.259761611179613,efficient,efficient,True
258,947648,out,2813,53882,18,50958,19.15463917525773,18.11517952364024,efficient,efficient,True
259,945902,out,2835,23485,18,47549,8.283950617283951,16.772134038800704,efficient,efficient,True
260,945288,out,2209,177854,18,40770,80.51335445903123,18.45631507469443,efficient,efficient,True
261,923666,out,1805,122173,18,35952,67.68587257617729,19.918005540166206,efficient,efficient,True
262,919906,out,1497,93059,18,35144,62.16366065464262,23.47628590514362,efficient,efficient,True
263,940634,out,1623,62132,18,31348,38.282193468884785,19.314849044978434,efficient,efficient,True
264,919194,out,1295,119812,18,28223,92.51891891891891,21.793822393822392,efficient,efficient,True
265,939706,out,1023,30180,18,18106,29.501466275659823,17.698924731182796,efficient,efficient,True
266,947638,out,1165,17790,18,17570,15.270386266094421,15.081545064377682,efficient,efficient,True
267,905430,out,751,60001,18,15229,79.8948069241012,20.278295605858855,efficient,efficient,True
268,947614,out,995,13931,18,13143,14.001005025125629,13.209045226130653,efficient,efficient,True
269,952914,out,580,23918,18,8753,41.237931034482756,15.091379310344827,efficient,efficient,True
270,947598,out,412,8874,18,6901,21.538834951456312,16.75,efficient,efficient,True
271,936382,out,390,22952,18,6629,58.85128205128205,16.997435897435896,efficient,efficient,True
272,921320,out,269,5505,18,6133,20.46468401486989,22.799256505576206,efficient,efficient,True
273,919218,out,287,18904,18,5457,65.86759581881533,19.013937282229964,efficient,efficient,True
274,914630,out,136,11585,18,2973,85.18382352941177,21.860294117647058,efficient,efficient,True
275,910520,out,198,16964,18,2651,85.67676767676768,13.38888888888889,efficient,efficient,True
276,943066,out,171,16622,18,2351,97.2046783625731,13.748538011695906,efficient,efficient,True
277,920706,out,140,12298,18,1747,87.84285714285714,12.478571428571428,efficient,efficient,True
278,929876,out,78,10289,18,1613,131.9102564102564,20.67948717948718,efficient,efficient,True
279,911310,out,95,2870,18,1595,30.210526315789473,16.789473684210527,efficient,efficient,True
280,892532,out,90,5053,18,1545,56.144444444444446,17.166666666666668,efficient,efficient,True
281,920146,out,84,5578,18,837,66.4047619047619,9.964285714285714,efficient,efficient,True
282,919302,out,2312,221327,17,59718,95.72967128027682,25.829584775086506,efficient,efficient,True
283,919196,out,2713,138379,17,57133,51.00589753040914,21.058975304091412,efficient,efficient,True
284,919192,out,2158,126352,17,43071,58.55050973123262,19.95875810936052,efficient,efficient,True
285,947618,out,1076,27148,17,18039,25.230483271375466,16.764869888475836,efficient,efficient,True
286,947642,out,901,9993,17,17367,11.09100998890122,19.27524972253052,efficient,efficient,True
287,885876,in,992,59222,17,9017,59.69959677419355,9.089717741935484,efficient,efficient,True
288,958468,out,516,45611,17,7776,88.39341085271317,15.069767441860465,efficient,efficient,True
289,958418,out,457,36436,17,4121,79.72866520787746,9.017505470459518,efficient,efficient,True
290,899972,out,191,23316,17,3273,122.07329842931937,17.13612565445026,efficient,efficient,True
291,920732,out,157,14821,17,2816,94.40127388535032,17.936305732484076,efficient,efficient,True
292,891162,out,104,12979,17,1709,124.79807692307692,16.432692307692307,efficient,efficient,True
293,921116,out,102,8960,17,1565,87.84313725490196,15.343137254901961,efficient,efficient,True
294,907952,out,179,11946,17,811,66.73743016759776,4.5307262569832405,efficient,efficient,True
295,906392,out,53,1106,17,532,20.867924528301888,10.037735849056604,efficient,efficient,True
296,919162,out,2757,125829,16,59147,45.63982589771491,21.453391367428363,efficient,efficient,True
297,947646,out,1893,33955,16,40484,17.93713681986265,21.386159535129423,efficient,efficient,True
298,945318,out,1839,167793,16,33790,91.24143556280588,18.374116367591082,efficient,efficient,True
299,945308,out,1584,153963,16,29828,97.19886363636364,18.83080808080808,efficient,efficient,True
300,899790,out,716,74450,16,15565,103.9804469273743,21.738826815642458,efficient,efficient,True
301,901992,out,671,41823,16,14713,62.32935916542474,21.926974664679584,efficient,efficient,True
302,883940,out,632,21216,16,10797,33.56962025316456,17.08386075949367,efficient,efficient,True
303,944216,in,235,28252,16,8368,120.22127659574468,35.60851063829787,efficient,efficient,True
304,962902,out,399,15983,16,7219,40.05764411027569,18.092731829573935,efficient,efficient,True
305,899968,out,364,47769,16,7148,131.2335164835165,19.63736263736264,efficient,efficient,True
306,958452,out,423,36783,16,6739,86.95744680851064,15.93144208037825,efficient,efficient,True
307,953464,out,317,16437,16,4720,51.85173501577287,14.889589905362776,efficient,efficient,True
308,944644,out,145,7682,16,2485,52.97931034482759,17.137931034482758,efficient,efficient,True
309,947590,out,166,6177,16,2168,37.21084337349398,13.060240963855422,efficient,efficient,True
310,944218,out,164,13339,16,2069,81.33536585365853,12.615853658536585,efficient,efficient,True
311,951508,out,146,7487,16,1619,51.28082191780822,11.08904109589041,efficient,efficient,True
312,895172,out,82,5062,16,1550,61.73170731707317,18.902439024390244,efficient,efficient,True
313,940434,out,133,11127,16,1240,83.66165413533835,9.323308270676693,efficient,efficient,True
314,907994,out,104,2177,16,577,20.932692307692307,5.548076923076923,efficient,efficient,True
315,919314,out,2416,76004,15,54361,31.45860927152318,22.50041390728477,efficient,efficient,True
